22/03/23 15:00
Estadístiques del projecte

               	Segments	Paraules	Caràcters (sense espais)	Caràcters (amb espais)	#Files	
Total:         	   10613	  166551	                  917671	               1054740	   115	
Restants:      	   10099	  161562	                  887994	               1021178	   115	
Únics:         	    9849	  164613	                  901869	               1037976	   114	
Únics restants:	    9591	  160362	                  879531	               1012013	   114	


Estadístiques per fitxer:

Nom de fitxer                                                        	Segments totals	Segments restants	Segments únics	Segments únics restants	Paraules totals	Paraules restants	Paraules úniques	Paraules úniques restants	Caràcters totals (sense espais)	Caràcters restants (sense espais)	Caràcters únics (sense espais)	Caràcters únics restants (sense espais)	Caràcters totals (amb espais)	Caràcters restants (amb espais)	Caràcters únics (amb espais)	Caràcters únics restants (amb espais)	
appendix-00.md                                                       	              2	                2	             2	                      2	             19	               19	              19	                       19	                            102	                              102	                           102	                                    102	                          119	                            119	                         119	                                  119	
appendix-01-keywords.md                                              	             87	               82	            86	                     82	            720	              673	             717	                      673	                           4444	                             4145	                          4414	                                   4145	                         5084	                           4748	                        5053	                                 4748	
appendix-02-operators.md                                             	            365	              365	           327	                    327	           1132	             1132	            1103	                     1103	                           9184	                             9184	                          8697	                                   8697	                        10001	                          10001	                        9510	                                 9510	
appendix-03-derivable-traits.md                                      	             81	               80	            81	                     80	           1512	             1508	            1512	                     1508	                           8727	                             8701	                          8727	                                   8701	                        10046	                          10016	                       10046	                                10016	
appendix-04-useful-development-tools.md                              	             84	               80	            73	                     73	            723	              711	             691	                      691	                           4281	                             4161	                          4052	                                   4052	                         4918	                           4794	                        4665	                                 4665	
appendix-05-editions.md                                              	             30	               30	            30	                     30	            489	              489	             489	                      489	                           2559	                             2559	                          2559	                                   2559	                         2986	                           2986	                        2986	                                 2986	
appendix-06-translation.md                                           	             25	               25	            25	                     25	             57	               57	              57	                       57	                            547	                              547	                           547	                                    547	                          579	                            579	                         579	                                  579	
appendix-07-nightly-rust.md                                          	             98	               98	            93	                     93	           1381	             1381	            1376	                     1376	                           6977	                             6977	                          6899	                                   6899	                         8434	                           8434	                        8256	                                 8256	
ch00-00-introduction.md                                              	             99	               96	            97	                     96	           1552	             1552	            1552	                     1552	                           8140	                             8125	                          8130	                                   8125	                         9463	                           9448	                        9453	                                 9448	
ch01-00-getting-started.md                                           	              7	                7	             7	                      7	             48	               48	              48	                       48	                            257	                              257	                           257	                                    257	                          294	                            294	                         294	                                  294	
ch01-01-installation.md                                              	             66	               66	            66	                     66	            737	              737	             737	                      737	                           3939	                             3939	                          3939	                                   3939	                         4566	                           4566	                        4566	                                 4566	
ch01-02-hello-world.md                                               	             90	               90	            89	                     89	           1130	             1130	            1128	                     1128	                           6236	                             6236	                          6227	                                   6227	                         7230	                           7230	                        7219	                                 7219	
ch01-03-hello-cargo.md                                               	            121	              120	           115	                    115	           1721	             1718	            1700	                     1700	                           9216	                             9186	                          9055	                                   9055	                        10656	                          10625	                       10483	                                10483	
ch02-00-guessing-game-tutorial.md                                    	            420	              411	           381	                    381	           5873	             5846	            5721	                     5721	                          32404	                            32134	                         31188	                                  31188	                        37182	                          36903	                       35881	                                35881	
ch03-00-common-programming-concepts.md                               	             12	               12	            12	                     12	            203	              203	             203	                      203	                           1112	                             1112	                          1112	                                   1112	                         1288	                           1288	                        1288	                                 1288	
ch03-01-variables-and-mutability.md                                  	             76	               73	            73	                     73	           1412	             1403	            1403	                     1403	                           7712	                             7622	                          7622	                                   7622	                         8881	                           8788	                        8788	                                 8788	
ch03-02-data-types.md                                                	            201	              190	           189	                    188	           2546	             2513	            2513	                     2510	                          13920	                            13608	                         13602	                                  13590	                        15978	                          15654	                       15649	                                15635	
ch03-03-how-functions-work.md                                        	            120	              111	           111	                    111	           1558	             1531	            1531	                     1531	                           9342	                             9072	                          9072	                                   9072	                        10565	                          10286	                       10286	                                10286	
ch03-04-comments.md                                                  	             17	               15	            14	                     14	            201	              195	             194	                      194	                           1196	                             1136	                          1131	                                   1131	                         1353	                           1291	                        1286	                                 1286	
ch03-05-control-flow.md                                              	            172	              161	           156	                    156	           2512	             2479	            2472	                     2472	                          14132	                            13802	                         13762	                                  13762	                        16139	                          15798	                       15754	                                15754	
ch04-00-understanding-ownership.md                                   	              9	                9	             9	                      9	            149	              149	             149	                      149	                           1025	                             1025	                          1025	                                   1025	                         1155	                           1155	                        1155	                                 1155	
ch04-01-what-is-ownership.md                                         	            252	                7	           241	                      5	           4020	               55	            3987	                       55	                          21238	                              407	                         20989	                                    387	                        24642	                            442	                       24368	                                  422	
ch04-02-references-and-borrowing.md                                  	            111	               90	           100	                     86	           1590	             1314	            1559	                     1301	                           8982	                             7421	                          8747	                                   7371	                        10219	                           8423	                        9972	                                 8367	
ch04-03-slices.md                                                    	            134	              128	           126	                    126	           2053	             2038	            2037	                     2037	                          10808	                            10653	                         10635	                                  10635	                        12486	                          12326	                       12307	                                12307	
ch05-00-structs.md                                                   	              7	                7	             7	                      7	            140	              140	             140	                      140	                            748	                              748	                           748	                                    748	                          866	                            866	                         866	                                  866	
ch05-01-defining-structs.md                                          	            126	              116	           113	                    113	           1874	             1844	            1835	                     1835	                          10679	                            10379	                         10311	                                  10311	                        12261	                          11951	                       11875	                                11875	
ch05-02-example-structs.md                                           	            103	               98	            97	                     97	           1713	             1698	            1697	                     1697	                           9947	                             9797	                          9792	                                   9792	                        11309	                          11154	                       11149	                                11149	
ch05-03-method-syntax.md                                             	             94	               89	            88	                     88	           1856	             1841	            1840	                     1840	                          10689	                            10539	                         10531	                                  10531	                        12278	                          12123	                       12114	                                12114	
ch06-00-enums.md                                                     	              7	                7	             7	                      7	            116	              116	             116	                      116	                            599	                              599	                           599	                                    599	                          697	                            697	                         697	                                  697	
ch06-01-defining-an-enum.md                                          	            142	              142	           142	                    142	           2581	             2581	            2581	                     2581	                          13774	                            13774	                         13774	                                  13774	                        15890	                          15890	                       15890	                                15890	
